FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025
Anglet_P,losses,avweight,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,losses,avweight,2023,23 5SG,444.89890239669495,458.9533415346112,0.0,0.0,0.0,0.0
Anglet_P,losses,avweight,2023,23 6SG,503.40442469427217,545.7202735549314,631.5264484685371,695.982289407993,781.4756140591645,845.7594901945586
Anglet_P,losses,avweight,2024,24 1SG,382.512796092796,488.1824799750584,601.2920858633058,689.1749896784228,771.6848919838718,860.655666940898
Anglet_P,losses,avweight,2024,24 2SG,0.0,329.4571002791167,414.3919320832524,534.2730509959831,640.3480221557961,723.8368645397068
Anglet_P,losses,avweight,2024,24 3SG,0.0,0.0,301.5543142348509,0.0,510.868689764952,620.8573888359666
Anglet_P,losses,avweight,2024,24 4SG,33.29776321594711,27.464552842312234,0.0,0.0,0.0,439.9792804975924
Anglet_P,losses,avweight,2024,24 5SG,0.0,0.0,0.0,21.263032826036298,21.070825070220764,0.0
Anglet_P,losses,avweight,2024,24 6SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,losses,avweight,2025,25 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,losses,avweight,TOTAL,TOTAL,428.9397917099193,459.54124443644986,619.652837275031,517.8756190042953,548.3263389990485,755.8562911643926
