Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
05 - optima,Couso_P,Optima,Optima,Optima,NA,28000,7000,Optima,NA,ac.200 - 300,a.0 - 300
05 - optima,Couso_P,Optima,Optima,Optima,NA,25714.28571,9000,Optima,NA,ad.300 - 400,b.300 - 400
05 - optima,Couso_P,Optima,Optima,Optima,NA,20000,9000,Optima,NA,ae.400 - 500,c.400 - 600
05 - optima,Couso_P,Optima,Optima,Optima,NA,16363.63636,9000,Optima,NA,af.500 - 600,c.400 - 600
05 - optima,Couso_P,Optima,Optima,Optima,NA,12307.69231,8000,Optima,NA,ag.600 - 700,d.600 - 800
05 - optima,Couso_P,Optima,Optima,Optima,NA,10666.66667,8000,Optima,NA,ah.700 - 800,d.600 - 800
05 - optima,Couso_P,Optima,Optima,Optima,NA,8235.294118,7000,Optima,NA,ai.800 - 900,e.800 - 1000
05 - optima,Couso_P,Optima,Optima,Optima,NA,8421.052632,8000,Optima,NA,aj.900 - 1000,e.800 - 1000
05 - optima,Couso_P,Optima,Optima,Optima,NA,7619.047619,8000,Optima,NA,ak.1000 - 1100,f.1000 - 1500
05 - optima,Couso_P,Optima,Optima,Optima,NA,7826.086957,9000,Optima,NA,al.1100 - 1200,f.1000 - 1500
05 - optima,Couso_P,Optima,Optima,Optima,NA,7200,9000,Optima,NA,am.1200 - 1300,f.1000 - 1500
05 - optima,Couso_P,Optima,Optima,Optima,NA,8888.888889,12000,Optima,NA,an.1300 - 1400,f.1000 - 1500
05 - optima,Couso_P,Optima,Optima,Optima,NA,8275.862069,12000,Optima,NA,ao.1400 - 1500,f.1000 - 1500
05 - optima,Couso_P,Optima,Optima,Optima,NA,6451.612903,10000,Optima,NA,ap.1500 - 1600,g.1500 - 2000
05 - optima,Couso_P,Optima,Optima,Optima,NA,6060.606061,10000,Optima,NA,aq.1600 - 1700,g.1500 - 2000
05 - optima,Couso_P,Optima,Optima,Optima,NA,6857.142857,12000,Optima,NA,ar.1700 - 1800,g.1500 - 2000
05 - optima,Couso_P,Optima,Optima,Optima,NA,7027.027027,13000,Optima,NA,as.1800 - 1900,g.1500 - 2000
