Granja,Edad,PesoMedio,Type
Tocha_P,138,40.16,Historical
Tocha_P,173,66.48888889,Historical
Tocha_P,201,92.8,Historical
Tocha_P,236,116.8,Historical
Tocha_P,188,117.44,Historical
Tocha_P,223,180,Historical
Tocha_P,307,399.348,Historical
Tocha_P,342,485.8,Historical
Tocha_P,201,85.7,Historical
Tocha_P,236,124.4,Historical
Tocha_P,320,344.5381818,Historical
Tocha_P,292,255.4181818,Historical
Oye_P,986,3898,Historical
Cervo_P,440,818.8888889,Historical
Cervo_P,440,910.6593407,Historical
Cervo_P,286,162,Historical
Cervo_P,405,519.525,Historical
